courseid|userid|created_stamp|INSTANCECODE
`1KHO0NUs`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1kjjIV3E`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1KWj3z3h`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1L0b11Sd`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1L3TXtKr`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1LbM1exf`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1lJToYOd`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1lQNLk79`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1LZz87TN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1md4kxbI`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1mIkDaPB`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1mLd6out`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1MSMIdlz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1MUFSbZD`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1MX6zSv5`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1n3VBQiA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1N8l9qdQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1nIC1Dfy`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1niXnRhm`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1nLKa0TU`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1NRIODdp`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1NrsjtvH`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1NVyFK6s`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1o4CLqiE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1O8gAuCb`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1OFuNF6a`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1oG34zgi`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1OGKlOEg`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1oIqoREU`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1okQ5SJk`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Ol5cjjC`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ONVSyTD`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1opYRyuD`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1OSoA2bY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1P1UOKIY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1p2wZwVQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1p4W22It`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1p9ckggE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1paAZ0Sz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1pHeQKH8`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1pmjofNz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1POe1Ztv`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1pqpm7SE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1pxTKZQt`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1pzmi1Ro`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1QpvCr2N`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1qra67fK`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1QUd9ESY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1QUqDfEQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Qv1NDk8`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1RE1gtYX`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1rg9511h`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1RI94c8K`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1rmVAGZ3`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1rPabofd`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1rWZiacw`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1sPKZjx0`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1sUmY0Ur`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1T0uQXzp`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1T3jxbfA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1t4fxGP5`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TbV6kkD`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TgFeqdV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1tif9IGE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1tjvzlKZ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TlqkwTx`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TRUqUxI`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TTfyMB8`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TTPTRLz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1TTvoYdx`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1tY97dyy`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1u0U5NtK`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1U7WZV7z`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1uAKg9uO`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1UGMpDFs`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Uk3DDMA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ULPqKXn`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1uPya6Ph`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1UuUH1CM`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1vDzIskq`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ve2b5CN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1viiS7UN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1vLCD51T`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1VljId14`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1vRmSTty`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1vVJrJKz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1VYVRQwN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1vzRalbl`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1W9V1Ny3`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1WdbaYfW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1WoTN802`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1WpCkPtw`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1wRLYRNK`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1wWbC8vg`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1WWTm6W3`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1WXhfzBJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1xHf8jFC`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1XHMYkOT`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1XiyNck4`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1xKvv4lk`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1xLgEVBU`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Xt6m3YS`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1xTZEn0p`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1xUOu6VB`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1XUsDBUV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1XXZo3iE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Y7LpBZy`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ydF7YCa`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1yhn1Vq4`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1YtxEr7i`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1yuZvAvd`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Zf7TiY4`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1zGP6zLt`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ZHV7YaT`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1zKcsZaT`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Zm0lyAJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1Zs3o6KX`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2R7DSFSE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2RfdOZTE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2riTNbFw`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2RKfcAHJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2Rm5j83M`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2RpPNGnf`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2RQAfkLU`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2rvyjrTO`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2slIaPdP`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2smQQwvk`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2sOefqoo`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`2SQDLf6A`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
